V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
9989,MINI,HATCHBACK,GREY,Hatchback,Petrol,MINIHATCHBACK3 Years OldPETROL,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER CLASSIC,31/05/2021,TradeZone,SEMI-AUTO,14900,39.666667,1,22711,235.582
7162,MINI,HATCHBACK,RED,Hatchback,Electric,MINIHATCHBACK2 Years OldELECTRIC,MINIHATCHBACK2 Years Old,MINIHATCHBACK,COOPER S LEVEL 2,06/07/2022,TradeZone,AUTO,14950,24.9,1,19974,382.971
7946,MINI,COUNTRYMAN,GREEN,SUV,Hybrid,MINICOUNTRYMAN2 Years OldPETROLPLUGINELECTRICHYBRID,MINICOUNTRYMAN2 Years Old,MINICOUNTRYMAN,COOPER S E CLASSIC,03/12/2021,TradeZone,SEMI-AUTO,20100,30.066667,1,18539,1112.35
4089,AUDI,E-TRON,WHITE,SUV,Electric,AUDIE-TRON3 Years OldELECTRIC,AUDIE-TRON3 Years Old,AUDIE-TRON,TECHNIK,17/08/2021,OTHER,AUTO,19150,42.833333,1,24564,972.23
1277,VOLKSWAGEN,T-CROSS,GREY,SUV,Petrol,VOLKSWAGENT-CROSS2 Years OldPETROL,VOLKSWAGENT-CROSS2 Years Old,VOLKSWAGENT-CROSS,BLACK EDITION,21/11/2022,TradeZone,MANUAL,15500,24.3,1,18973,520.616
6917,VAUXHALL,ADAM,BLUE,Hatchback,Petrol,VAUXHALLADAM6 Years OldPETROL,VAUXHALLADAM6 Years Old,VAUXHALLADAM,ENERGISED,30/04/2018,TradeZone,MANUAL,5275,77.3,2,55672,1478.87
4739,VOLKSWAGEN,POLO,WHITE,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,R-LINE,17/07/2020,TradeZone,MANUAL,12200,47.466667,1,37355,517.56
4193,LAND ROVER,RANGE ROVER VELAR,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER VELAR4 Years OldDIESEL,LAND ROVERRANGE ROVER VELAR4 Years Old,LAND ROVERRANGE ROVER VELAR,R-DYNAMIC SE,24/07/2020,TradeZone,AUTO,20750,53.666667,4,57616,804.77
6078,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE PREMIUM,19/06/2020,TradeZone,MANUAL,8200,48.966667,2,47412,312.235
3592,RENAULT,CLIO,BLACK,Hatchback,Diesel,RENAULTCLIO8 Years OldDIESEL,RENAULTCLIO8 Years Old,RENAULTCLIO,DYNAMIQUE S NAV,15/02/2017,PARTEX,MANUAL,5050,96.2,4,63436,725.6
8909,TOYOTA,COROLLA TOURING SPORT,BLACK,Estate,Hybrid,TOYOTACOROLLA TOURING SPORT4 Years OldPETROLELECTRICHYBRID,TOYOTACOROLLA TOURING SPORT4 Years Old,TOYOTACOROLLA TOURING SPORT,DESIGN,23/11/2020,TradeZone,AUTO,16200,51.566667,1,33323,779.34
3683,DACIA,SANDERO STEPWAY,WHITE,Hatchback,Petrol,DACIASANDERO STEPWAY5 Years OldPETROL,DACIASANDERO STEPWAY5 Years Old,DACIASANDERO STEPWAY,COMFORT,21/01/2019,TradeZone,MANUAL,5525,71.866667,2,34103,674.389
2837,MINI,HATCHBACK,GREY,Hatchback,Petrol,MINIHATCHBACK2 Years OldPETROL,MINIHATCHBACK2 Years Old,MINIHATCHBACK,ONE CLASSIC,07/02/2022,TradeZone,MANUAL,13250,31.4,2,10176,543.958
2969,SUZUKI,JIMNY,BLUE,SUV,Petrol,SUZUKIJIMNY5 Years OldPETROL,SUZUKIJIMNY5 Years Old,SUZUKIJIMNY,SZ5,20/04/2019,TradeZone,AUTO,23900,62.233333,2,27004,462.60699999999997
221,TOYOTA,COROLLA TOURING SPORT,WHITE,Estate,Hybrid,TOYOTACOROLLA TOURING SPORT3 Years OldPETROLELECTRICHYBRID,TOYOTACOROLLA TOURING SPORT3 Years Old,TOYOTACOROLLA TOURING SPORT,GR SPORT,06/05/2021,TradeZone,AUTO,17400,37.966667,1,43070,690.899
9332,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA6 Years OldPETROL,FORDFIESTA6 Years Old,FORDFIESTA,ST-LINE,31/01/2018,PARTEX,MANUAL,6500,79.833333,2,48445,559.46
445,SKODA,FABIA,WHITE,Hatchback,Petrol,SKODAFABIA4 Years OldPETROL,SKODAFABIA4 Years Old,SKODAFABIA,MONTE CARLO,16/01/2020,TradeZone,MANUAL,10150,56.2,2,31017,324.11
4749,HYUNDAI,TUCSON,GREY,SUV,Diesel,HYUNDAITUCSON6 Years OldDIESEL,HYUNDAITUCSON6 Years Old,HYUNDAITUCSON,PREMIUM,31/07/2018,TradeZone,MANUAL,11200,73.066667,4,56490,609.12
1861,BMW,X2,BLUE,SUV,Hybrid,BMWX23 Years OldPETROLPLUGINELECTRICHYBRID,BMWX23 Years Old,BMWX2,SPORT,25/05/2021,TradeZone,SEMI-AUTO,19800,37.166667,1,25204,597.98
5077,TESLA,MODEL 3,WHITE,Saloon,Electric,TESLAMODEL 33 Years OldELECTRIC,TESLAMODEL 33 Years Old,TESLAMODEL 3,STANDARD PLUS,25/11/2020,TradeZone,AUTO,15200,44.133333,1,60751,699.913
7810,VOLKSWAGEN,GOLF,GREY,Hatchback,Diesel,VOLKSWAGENGOLF3 Years OldDIESEL,VOLKSWAGENGOLF3 Years Old,VOLKSWAGENGOLF,R-LINE,31/12/2020,TradeZone,SEMI-AUTO,16050,41.466667,1,58305,1531.315
8170,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Hybrid,LAND ROVERRANGE ROVER EVOQUE4 Years OldPETROLPLUGINELECTRICHYBRID,LAND ROVERRANGE ROVER EVOQUE4 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,04/12/2020,TradeZone,AUTO,18100,49.666667,2,77031,444.54999999999995
1017,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,S LINE,11/12/2020,TradeZone,MANUAL,16300,48.966667,1,37876,628.439
2878,FORD,MONDEO,SILVER,Saloon,Hybrid,FORDMONDEO3 Years OldPETROLELECTRICHYBRID,FORDMONDEO3 Years Old,FORDMONDEO,TITANIUM EDITION,18/09/2020,TradeZone,AUTO,11850,44.2,1,67140,677.234
9203,FORD,KUGA,RED,SUV,Hybrid,FORDKUGA3 Years OldPETROLPLUGINELECTRICHYBRID,FORDKUGA3 Years Old,FORDKUGA,ST-LINE EDITION,17/12/2021,TradeZone,AUTO,17950,37.733333,2,27418,385.17999999999995
6767,SEAT,ATECA,WHITE,SUV,Petrol,SEATATECA6 Years OldPETROL,SEATATECA6 Years Old,SEATATECA,FR,31/07/2018,TradeZone,SEMI-AUTO,13650,71.9,3,50103,438.7
8633,CUPRA,FORMENTOR,BLACK,SUV,Petrol,CUPRAFORMENTOR2 Years OldPETROL,CUPRAFORMENTOR2 Years Old,CUPRAFORMENTOR,V1,18/05/2022,TradeZone,SEMI-AUTO,19250,29.133333,3,23627,904.28
3041,VAUXHALL,MOKKA X,BLUE,SUV,Petrol,VAUXHALLMOKKA X7 Years OldPETROL,VAUXHALLMOKKA X7 Years Old,VAUXHALLMOKKA X,ACTIVE,09/12/2016,TradeZone,MANUAL,5225,93.033333,2,44009,751.96
1100,MERCEDES-BENZ,CLA,WHITE,Coupe,Diesel,MERCEDES-BENZCLA6 Years OldDIESEL,MERCEDES-BENZCLA6 Years Old,MERCEDES-BENZCLA,AMG LINE,26/10/2018,PARTEX,SEMI-AUTO,12600,75.1,3,57383,567.1
860,VOLVO,XC60,WHITE,SUV,Petrol,VOLVOXC605 Years OldPETROL,VOLVOXC605 Years Old,VOLVOXC60,EDITION,30/11/2019,TradeZone,SEMI-AUTO,20200,59.9,1,40081,859.71
7979,TOYOTA,AYGO,RED,Hatchback,Petrol,TOYOTAAYGO4 Years OldPETROL,TOYOTAAYGO4 Years Old,TOYOTAAYGO,X-TREND,20/11/2020,TradeZone,MANUAL,8425,46.3,1,25643,1302.6699999999998
1822,LAND ROVER,DISCOVERY SPORT,BLACK,SUV,Diesel,LAND ROVERDISCOVERY SPORT5 Years OldDIESEL,LAND ROVERDISCOVERY SPORT5 Years Old,LAND ROVERDISCOVERY SPORT,LANDMARK,31/03/2019,TradeZone,AUTO,16250,64,2,43953,640.3399999999999
5248,BMW,1 SERIES,SILVER,Hatchback,Petrol,BMW1 SERIES6 Years OldPETROL,BMW1 SERIES6 Years Old,BMW1 SERIES,SPORT,31/10/2018,TradeZone,MANUAL,9800,74.666667,2,28193,323.77
9927,TOYOTA,RAV4,GREY,SUV,Hybrid,TOYOTARAV44 Years OldPETROLELECTRICHYBRID,TOYOTARAV44 Years Old,TOYOTARAV4,DYNAMIC,10/01/2020,TradeZone,AUTO,22150,54.566667,1,46956,333.93
16,VOLVO,V60,WHITE,Estate,Diesel,VOLVOV604 Years OldDIESEL,VOLVOV604 Years Old,VOLVOV60,MOMENTUM PLUS,21/02/2020,TradeZone,SEMI-AUTO,14950,51.333333,2,61946,378.7
8304,MINI,HATCHBACK,SILVER,Hatchback,Electric,MINIHATCHBACK3 Years OldELECTRIC,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER S LEVEL 1,06/01/2021,TradeZone,AUTO,11700,40.866667,1,25362,971.571
157,FORD,B-MAX,SILVER,MPV,Petrol,FORDB-MAX6 Years OldPETROL,FORDB-MAX6 Years Old,FORDB-MAX,TITANIUM,11/08/2017,TradeZone,SEMI-AUTO,6800,83.4,2,26727,524.85
9321,MG,ZS,WHITE,SUV,Petrol,MGZS4 Years OldPETROL,MGZS4 Years Old,MGZS,LIMITED EDITION,10/02/2020,TradeZone,MANUAL,7800,58.8,1,55253,284.837
2284,LAND ROVER,RANGE ROVER EVOQUE,GREY,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE5 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE5 Years Old,LAND ROVERRANGE ROVER EVOQUE,S,29/11/2019,TradeZone,AUTO,17100,59.233333,1,35082,803.1
8688,SKODA,KAROQ,WHITE,SUV,Petrol,SKODAKAROQ4 Years OldPETROL,SKODAKAROQ4 Years Old,SKODAKAROQ,SPORT LINE,16/12/2020,TradeZone,AUTO,19950,46.233333,3,26356,375.499
4269,FORD,KUGA,BLACK,SUV,Diesel,FORDKUGA5 Years OldDIESEL,FORDKUGA5 Years Old,FORDKUGA,TITANIUM X,14/12/2018,TradeZone,SEMI-AUTO,12300,70.233333,2,40794,360.37
2473,CITROEN,C4 PICASSO,GREY,MPV,Diesel,CITROENC4 PICASSO7 Years OldDIESEL,CITROENC4 PICASSO7 Years Old,CITROENC4 PICASSO,TOUCH EDITION,11/07/2017,PARTEX,MANUAL,5925,86.866667,2,31284,533.23
1955,BMW,I3,GREY,Hatchback,Electric,BMWI33 Years OldELECTRIC,BMWI33 Years Old,BMWI3,,18/11/2020,TradeZone,AUTO,12800,43.6,1,15389,484.35
2289,MINI,HATCHBACK,SILVER,Hatchback,Electric,MINIHATCHBACK3 Years OldELECTRIC,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER S LEVEL 2,25/06/2021,TradeZone,AUTO,14300,37,1,21195,542.952
3229,VOLVO,XC60,BLUE,SUV,Diesel,VOLVOXC602 Years OldDIESEL,VOLVOXC602 Years Old,VOLVOXC60,R DESIGN PRO,12/11/2021,TradeZone,SEMI-AUTO,26300,30.066667,1,68062,437.65
9998,PEUGEOT,108,BLUE,Hatchback,Petrol,PEUGEOT1087 Years OldPETROL,PEUGEOT1087 Years Old,PEUGEOT108,ACTIVE,30/06/2016,TradeZone,MANUAL,4325,95.8,2,32240,623.327
1971,TOYOTA,COROLLA TOURING SPORT,WHITE,Estate,Hybrid,TOYOTACOROLLA TOURING SPORT4 Years OldPETROLELECTRICHYBRID,TOYOTACOROLLA TOURING SPORT4 Years Old,TOYOTACOROLLA TOURING SPORT,EXCEL,11/02/2020,TradeZone,AUTO,16150,53.3,1,35109,966.093
6631,BMW,X1,BRONZE,SUV,Diesel,BMWX17 Years OldDIESEL,BMWX17 Years Old,BMWX1,SE,18/08/2017,TradeZone,SEMI-AUTO,9350,92.833333,2,61193,698.1899999999999
188,TOYOTA,COROLLA,BLACK,Hatchback,Hybrid,TOYOTACOROLLA4 Years OldPETROLELECTRICHYBRID,TOYOTACOROLLA4 Years Old,TOYOTACOROLLA,EXCEL,21/02/2020,OTHER,AUTO,13300,51.433333,1,54500,1085.49
4262,CITROEN,C3,BLACK,Hatchback,Petrol,CITROENC35 Years OldPETROL,CITROENC35 Years Old,CITROENC3,FLAIR NAV EDITION,18/01/2019,TradeZone,MANUAL,7325,71.8,1,11677,705.6600000000001
8927,JAGUAR,I-PACE,BLUE,SUV,Electric,JAGUARI-PACE3 Years OldELECTRIC,JAGUARI-PACE3 Years Old,JAGUARI-PACE,SE,30/03/2021,OTHER,AUTO,21100,38,1,35731,905.91
2076,MINI,HATCHBACK,WHITE,Hatchback,Petrol,MINIHATCHBACK6 Years OldPETROL,MINIHATCHBACK6 Years Old,MINIHATCHBACK,COOPER,20/06/2018,TradeZone,MANUAL,9625,73.5,2,27588,409.711
7062,AUDI,A1,BLACK,Hatchback,Petrol,AUDIA16 Years OldPETROL,AUDIA16 Years Old,AUDIA1,SPORT,06/12/2017,PARTEX,MANUAL,9675,78.8,3,39005,529.05
5445,AUDI,A3,WHITE,Convertible,Petrol,AUDIA33 Years OldPETROL,AUDIA33 Years Old,AUDIA3,S LINE,09/12/2019,PARTEX,MANUAL,18200,58.966667,2,42183,386.392
6732,FORD,FIESTA,SILVER,Hatchback,Petrol,FORDFIESTA5 Years OldPETROL,FORDFIESTA5 Years Old,FORDFIESTA,TITANIUM,28/03/2019,TradeZone,SEMI-AUTO,11100,62.433333,2,23892,69.4
8329,KIA,SPORTAGE,SILVER,SUV,Diesel,KIASPORTAGE7 Years OldDIESEL,KIASPORTAGE7 Years Old,KIASPORTAGE,3,22/08/2017,TradeZone,MANUAL,7925,86.066667,1,71074,693.42
3054,BMW,X1,BLACK,SUV,Hybrid,BMWX13 Years OldPETROLPLUGINELECTRICHYBRID,BMWX13 Years Old,BMWX1,SPORT,26/05/2021,TradeZone,SEMI-AUTO,19650,37.3,1,29184,762.57
50,LAND ROVER,RANGE ROVER VELAR,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER VELAR7 Years OldDIESEL,LAND ROVERRANGE ROVER VELAR7 Years Old,LAND ROVERRANGE ROVER VELAR,R-DYNAMIC SE,30/11/2017,TradeZone,AUTO,17700,82.6,3,74264,1703.07
1940,BMW,3 SERIES,WHITE,Estate,Hybrid,BMW3 SERIES4 Years OldPETROLPLUGINELECTRICHYBRID,BMW3 SERIES4 Years Old,BMW3 SERIES,M SPORT,15/02/2021,TradeZone,SEMI-AUTO,17250,49.566667,1,65029,423.175
1899,NISSAN,MICRA,BLUE,Hatchback,Petrol,NISSANMICRA2 Years OldPETROL,NISSANMICRA2 Years Old,NISSANMICRA,ACENTA,21/12/2021,TradeZone,AUTO,12400,30.566667,3,13042,511.24
9225,MINI,HATCHBACK,RED,Hatchback,Electric,MINIHATCHBACK3 Years OldELECTRIC,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER S LEVEL 3,10/08/2021,TradeZone,AUTO,16750,36.6,1,11883,251.89999999999998
4525,VOLKSWAGEN,GOLF,WHITE,Hatchback,Petrol,VOLKSWAGENGOLF6 Years OldPETROL,VOLKSWAGENGOLF6 Years Old,VOLKSWAGENGOLF,GT,15/12/2017,TradeZone,SEMI-AUTO,11750,80,2,48385,264.55
6555,LAND ROVER,RANGE ROVER VELAR,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER VELAR6 Years OldDIESEL,LAND ROVERRANGE ROVER VELAR6 Years Old,LAND ROVERRANGE ROVER VELAR,R-DYNAMIC S,29/11/2018,TradeZone,AUTO,19600,69.333333,3,53434,1031.5
8657,PEUGEOT,E-2008,BLACK,SUV,Electric,PEUGEOTE-20084 Years OldELECTRIC,PEUGEOTE-20084 Years Old,PEUGEOTE-2008,GT,29/12/2020,PARTEX,AUTO,11550,50.033333,2,37000,529.82
8668,SKODA,KAROQ,BLACK,SUV,Petrol,SKODAKAROQ3 Years OldPETROL,SKODAKAROQ3 Years Old,SKODAKAROQ,SPORT LINE,24/12/2020,TradeZone,AUTO,18450,45.266667,1,39057,431.65
7940,FORD,FOCUS,BLACK,Hatchback,Diesel,FORDFOCUS2 Years OldDIESEL,FORDFOCUS2 Years Old,FORDFOCUS,ST-LINE EDITION,26/10/2021,OTHER,MANUAL,13850,32.633333,2,26394,425.31
7221,FORD,KUGA,SILVER,SUV,Hybrid,FORDKUGA2 Years OldPETROLPLUGINELECTRICHYBRID,FORDKUGA2 Years Old,FORDKUGA,ST-LINE X EDITION,28/09/2021,TradeZone,AUTO,19100,32.666667,1,47342,217.64999999999998
5663,AUDI,TT,BLACK,Coupe,Petrol,AUDITT7 Years OldPETROL,AUDITT7 Years Old,AUDITT,S LINE,18/10/2017,TradeZone,SEMI-AUTO,13900,84.966667,3,41098,517.616
6826,AUDI,A3,WHITE,Hatchback,Petrol,AUDIA36 Years OldPETROL,AUDIA36 Years Old,AUDIA3,S LINE,23/01/2018,OTHER,MANUAL,12400,76.733333,3,38543,283.01
2399,HONDA,JAZZ,BLACK,Hatchback,Petrol,HONDAJAZZ7 Years OldPETROL,HONDAJAZZ7 Years Old,HONDAJAZZ,EX NAVI,27/06/2017,TradeZone,MANUAL,8550,88.966667,2,27663,1143.12
9770,SEAT,ATECA,WHITE,SUV,Diesel,SEATATECA6 Years OldDIESEL,SEATATECA6 Years Old,SEATATECA,FR,22/06/2018,TradeZone,MANUAL,12800,80.633333,1,27853,377.59
4450,HYUNDAI,TUCSON,WHITE,SUV,Diesel,HYUNDAITUCSON6 Years OldDIESEL,HYUNDAITUCSON6 Years Old,HYUNDAITUCSON,SE,29/12/2017,PARTEX,MANUAL,6775,81.166667,1,71228,703.75
6454,FIAT,500,GREY,Hatchback,Petrol,FIAT5005 Years OldPETROL,FIAT5005 Years Old,FIAT500,LOUNGE,31/10/2019,TradeZone,MANUAL,6500,63.5,2,14494,324.68
4965,VOLKSWAGEN,GOLF,BLUE,Hatchback,Electric,VOLKSWAGENGOLF3 Years OldELECTRIC,VOLKSWAGENGOLF3 Years Old,VOLKSWAGENGOLF,E-GOLF,12/10/2020,TradeZone,AUTO,10600,43.633333,3,25658,665.88
7263,VOLKSWAGEN,T-CROSS,WHITE,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,09/07/2021,TradeZone,MANUAL,15200,36.833333,1,19906,629.029
1418,KIA,XCEED,RED,Hatchback,Hybrid,KIAXCEED3 Years OldPETROLPLUGINELECTRICHYBRID,KIAXCEED3 Years Old,KIAXCEED,3,16/08/2021,TradeZone,SEMI-AUTO,14050,40.266667,1,30992,268.46
6066,NISSAN,X-TRAIL,BLACK,SUV,Diesel,NISSANX-TRAIL3 Years OldDIESEL,NISSANX-TRAIL3 Years Old,NISSANX-TRAIL,N-CONNECTA,26/03/2021,PARTEX,MANUAL,15200,45.5,2,31699,525.315
5514,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE6 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE6 Years Old,LAND ROVERRANGE ROVER EVOQUE,SE TECH,16/12/2017,TradeZone,AUTO,9700,81.8,3,56901,496.65
1968,SKODA,KODIAQ,BLACK,SUV,Petrol,SKODAKODIAQ6 Years OldPETROL,SKODAKODIAQ6 Years Old,SKODAKODIAQ,SE L,31/01/2018,TradeZone,AUTO,16850,77.7,2,52969,380.77
3147,VOLVO,XC40,WHITE,SUV,Petrol,VOLVOXC403 Years OldPETROL,VOLVOXC403 Years Old,VOLVOXC40,INSCRIPTION PRO,19/01/2021,TradeZone,MANUAL,21500,46.733333,1,19030,900.4359999999999
5813,MINI,HATCHBACK,GREY,Hatchback,Petrol,MINIHATCHBACK3 Years OldPETROL,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER CLASSIC,31/05/2021,TradeZone,MANUAL,12400,42.966667,1,23465,994.406
563,SKODA,KAROQ,GREY,SUV,Petrol,SKODAKAROQ3 Years OldPETROL,SKODAKAROQ3 Years Old,SKODAKAROQ,SE TECHNOLOGY,18/06/2021,OTHER,MANUAL,14400,37.2,2,32314,774.9
9111,VOLKSWAGEN,POLO,GREY,Hatchback,Petrol,VOLKSWAGENPOLO1 Years OldPETROL,VOLKSWAGENPOLO1 Years Old,VOLKSWAGENPOLO,LIFE,01/02/2023,TradeZone,MANUAL,15500,15.566667,1,11685,800.39
4390,VOLKSWAGEN,T-CROSS,WHITE,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,26/07/2021,TradeZone,MANUAL,14650,36.933333,1,24086,785.93
107,SKODA,SCALA,GREY,Hatchback,Petrol,SKODASCALA1 Years OldPETROL,SKODASCALA1 Years Old,SKODASCALA,SE L,21/11/2023,OTHER,MANUAL,14950,13.5,2,5162,722.083
7035,TOYOTA,C-HR,BLACK,SUV,Hybrid,TOYOTAC-HR4 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR4 Years Old,TOYOTAC-HR,ICON,13/07/2020,TradeZone,AUTO,13300,49.966667,1,43459,636.44
7540,SEAT,ARONA,BLUE,SUV,Petrol,SEATARONA4 Years OldPETROL,SEATARONA4 Years Old,SEATARONA,FR,04/12/2020,TradeZone,MANUAL,11000,46.766667,2,26513,649.664
4679,HYUNDAI,I20,WHITE,Hatchback,Petrol,HYUNDAII204 Years OldPETROL,HYUNDAII204 Years Old,HYUNDAII20,SE,29/07/2020,TradeZone,AUTO,10450,49.666667,2,23631,1163.081
1393,NISSAN,LEAF,RED,Hatchback,Electric,NISSANLEAF3 Years OldELECTRIC,NISSANLEAF3 Years Old,NISSANLEAF,ACENTA,05/01/2021,OTHER,AUTO,8975,40.8,1,25478,335.96
5921,CITROEN,C3,BLUE,Hatchback,Petrol,CITROENC37 Years OldPETROL,CITROENC37 Years Old,CITROENC3,FEEL,31/03/2017,PARTEX,MANUAL,5725,90.3,2,44190,662.67
6622,VOLKSWAGEN,UP!,RED,Hatchback,Petrol,VOLKSWAGENUP!7 Years OldPETROL,VOLKSWAGENUP!7 Years Old,VOLKSWAGENUP!,UP BEATS,15/03/2018,PARTEX,MANUAL,5625,84.866667,2,58080,514.41
8958,CITROEN,C1,RED,Hatchback,Petrol,CITROENC13 Years OldPETROL,CITROENC13 Years Old,CITROENC1,SENSE,30/06/2021,TradeZone,MANUAL,7350,36.866667,1,16892,271.03999999999996
6913,NISSAN,MICRA,RED,Hatchback,Petrol,NISSANMICRA5 Years OldPETROL,NISSANMICRA5 Years Old,NISSANMICRA,ACENTA,10/09/2018,TradeZone,MANUAL,8425,69.2,3,5104,1478.215
3516,AUDI,Q3,WHITE,SUV,Petrol,AUDIQ35 Years OldPETROL,AUDIQ35 Years Old,AUDIQ3,BLACK EDITION,15/05/2018,OTHER,SEMI-AUTO,15650,72.766667,2,44104,499.32
8909,SKODA,FABIA,BLUE,Hatchback,Petrol,SKODAFABIA5 Years OldPETROL,SKODAFABIA5 Years Old,SKODAFABIA,COLOUR EDITION,25/09/2019,PARTEX,MANUAL,8325,60.033333,2,45785,581.84
814,TOYOTA,AYGO,WHITE,Hatchback,Petrol,TOYOTAAYGO8 Years OldPETROL,TOYOTAAYGO8 Years Old,TOYOTAAYGO,X-PLAY,09/03/2016,PARTEX,MANUAL,4200,105.633333,3,44426,890.0319999999999
2706,VAUXHALL,ASTRA,RED,Hatchback,Petrol,VAUXHALLASTRA6 Years OldPETROL,VAUXHALLASTRA6 Years Old,VAUXHALLASTRA,SE,28/03/2019,PARTEX,MANUAL,6925,68.766667,3,36292,2545.96
1198,MERCEDES-BENZ,C-CLASS,BLACK,Coupe,Petrol,MERCEDES-BENZC-CLASS7 Years OldPETROL,MERCEDES-BENZC-CLASS7 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,01/09/2017,TradeZone,SEMI-AUTO,14200,90.266667,3,49873,896.384
8636,MERCEDES-BENZ,CLA,BLUE,Coupe,Diesel,MERCEDES-BENZCLA6 Years OldDIESEL,MERCEDES-BENZCLA6 Years Old,MERCEDES-BENZCLA,SPORT,09/03/2018,TradeZone,MANUAL,11800,76.733333,2,28265,1675.25
666,SUZUKI,SWIFT,RED,Hatchback,Petrol,SUZUKISWIFT3 Years OldPETROL,SUZUKISWIFT3 Years Old,SUZUKISWIFT,SZ-T,26/06/2021,TradeZone,AUTO,11150,39.133333,2,32210,395.30199999999996
6213,FORD,FIESTA,RED,Hatchback,Petrol,FORDFIESTA6 Years OldPETROL,FORDFIESTA6 Years Old,FORDFIESTA,ST-LINE,28/01/2019,TradeZone,MANUAL,8825,72.333333,3,20359,701.93
5365,KIA,E-NIRO,GREY,SUV,Electric,KIAE-NIRO4 Years OldELECTRIC,KIAE-NIRO4 Years Old,KIAE-NIRO,FIRST EDITION,11/12/2019,TradeZone,AUTO,11550,55,1,63937,863.26
1790,LAND ROVER,RANGE ROVER VELAR,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER VELAR3 Years OldDIESEL,LAND ROVERRANGE ROVER VELAR3 Years Old,LAND ROVERRANGE ROVER VELAR,R-DYNAMIC SE,28/06/2021,TradeZone,AUTO,25100,44,1,67617,281.8
9783,MAZDA,CX-30,RED,SUV,Petrol,MAZDACX-303 Years OldPETROL,MAZDACX-303 Years Old,MAZDACX-30,SPORT LUX,01/03/2021,TradeZone,MANUAL,14850,43.033333,2,21896,345.613
305,FORD,FOCUS,RED,Hatchback,Petrol,FORDFOCUS3 Years OldPETROL,FORDFOCUS3 Years Old,FORDFOCUS,ST-LINE X EDITION,31/05/2021,PARTEX,MANUAL,14550,42.366667,3,16878,424.618
3188,PEUGEOT,208,BLACK,Hatchback,Petrol,PEUGEOT2087 Years OldPETROL,PEUGEOT2087 Years Old,PEUGEOT208,ACTIVE,10/03/2017,PARTEX,MANUAL,2625,96.033333,3,78505,852.9399999999999
5713,SEAT,ARONA,BLUE,SUV,Petrol,SEATARONA5 Years OldPETROL,SEATARONA5 Years Old,SEATARONA,SE TECHNOLOGY,18/04/2019,TradeZone,MANUAL,9050,71.866667,1,33285,541.17
6737,TOYOTA,C-HR,BLACK,SUV,Hybrid,TOYOTAC-HR4 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR4 Years Old,TOYOTAC-HR,DESIGN,11/03/2020,TradeZone,AUTO,13400,51.6,2,67557,1226.04
281,TOYOTA,C-HR,WHITE,SUV,Hybrid,TOYOTAC-HR4 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR4 Years Old,TOYOTAC-HR,DESIGN,03/03/2020,TradeZone,AUTO,16900,53.2,1,21672,1014.3
978,VOLVO,XC60,BLUE,SUV,Petrol,VOLVOXC605 Years OldPETROL,VOLVOXC605 Years Old,VOLVOXC60,EDITION,20/12/2019,TradeZone,SEMI-AUTO,18550,60.9,1,56297,1083.883
